year,state_name,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,rape_final
1980,Georgia,5400851,29993,743,10670,16189,272652,91773,160764,20115,644.106229558575
1980,Hawaii,964680,2889,84,1835,635,69291,17822,45564,5905,114.04619426402978
1980,Iowa,2907804,5826,63,1596,3751,132200,31390,93605,7205,165.15600693185024
1980,Idaho,943629,2957,29,442,2275,42169,11691,28243,2235,90.50187604224568
1980,Illinois,11355062,91753,1205,41675,44923,620107,177099,369319,73689,1096.1904418890954
1980,Indiana,5461103,20633,485,7720,10620,248619,71720,153297,23602,516.517825642242
1980,Kansas,2354783,9168,163,2664,5599,117492,35826,75268,6398,235.62188028764803
1980,Kentucky,3641479,9711,321,3468,5224,115328,37901,68296,9131,219.42128101122537
1980,Louisiana,4199542,27926,661,8271,17127,201106,63997,121298,15811,470.0013363847452
1980,Massachusetts,5728288,34444,232,13492,19158,313787,99697,153849,60241,414.3801143862737
1980,Maryland,4192211,35735,399,16461,17194,242214,71183,152144,18887,398.49036555916393
1980,Maine,1123670,2173,32,346,1650,46904,13291,31151,2462,51.61874233996417
1980,Michigan,9228128,59014,940,22519,31251,557051,160688,342384,53979,1167.1056186794738
1980,Minnesota,4061235,9250,106,4025,4177,185668,50602,123050,12016,256.6690521984166
1980,Missouri,4901288,27177,544,10958,14075,239115,81798,136998,20319,564.304855112265
1980,Mississippi,2511491,8588,365,2035,5569,77234,29612,43142,4480,136.86012807549713
1980,Montana,781592,1740,31,266,1279,37531,7430,27587,2514,80.18386961972419
1980,North Carolina,5843665,26589,619,4810,19836,244585,83150,148804,12631,370.42166914542173
1980,North Dakota,652437,352,8,50,232,18984,3186,14629,1169,31.152855097820904
1980,Nebraska,1563921,3512,69,1286,1794,63818,14316,45692,3810,169.50194426441996
1980,New Hampshire,919114,1653,23,386,1085,41358,12067,26443,2848,57.50276403840559
1980,New Jersey,7342164,44373,504,22299,19313,425623,137900,234160,53563,382.9133508537354
1980,New Mexico,1295474,7967,170,1657,5579,69490,19335,45613,4542,188.1146797153025
1980,Nevada,800312,7304,160,3686,2920,63556,23263,34864,5429,240.0297496227403
1980,New York,17506690,180235,2228,112273,60329,1029749,360925,535783,133041,1560.682579487274
1980,Ohio,10766808,53646,871,24082,24997,531141,157874,327322,45945,970.8349986987757
1980,Oklahoma,3001252,12589,299,3147,8055,139061,50802,75649,12610,350.6058522991175
1980,Oregon,2610477,12802,132,3978,7608,161759,45641,106712,9406,321.34838560205566
1980,Pennsylvania,11824220,43032,809,21039,18462,398761,122800,226496,49465,764.3565233345564
1980,Rhode Island,945835,3864,42,1122,2538,52249,16233,28037,7979,52.451840463055085
1980,South Carolina,3064557,20225,348,3620,15109,146461,51177,85905,9379,351.16413722739446
1980,South Dakota,688217,873,5,138,644,21447,4766,15521,1160,32.811422691021356
1980,Tennessee,4545590,20824,489,8208,10427,183632,68251,98876,16505,463.0489602494914
1980,Texas,14169829,77978,2392,29547,39339,792480,262600,450792,79088,2308.6995559301154
1980,Utah,1458729,4425,55,1170,2796,81357,19283,57354,4720,189.03580017865733
1980,Virginia,5323412,16355,459,6392,8046,229587,64020,153437,12130,484.3166935884692
1980,Vermont,511299,914,11,199,555,24592,7806,15278,1508,46.07619401598215
1980,Washington,4113331,19098,225,5558,11146,265338,76598,172468,16272,534.2728347411389
1980,Wisconsin,4680917,8546,136,3310,4403,216073,50524,154070,11479,272.91113955847544
1980,West Virginia,1930787,3547,138,936,2167,45719,14258,27606,3855,128.85718401152323
1980,Wyoming,468954,1841,29,208,1470,21543,4238,15686,1619,47.946096654275095
1981,TOTAL,229465714,1361820,22520,592910,663900,12061900,3779700,7194400,1087800,24666.582332081885
1981,Alaska,412000,2537,60,472,1584,24634,5479,16310,2845,190.7988349514563
1981,Alabama,3916000,18423,465,4952,11985,173411,56811,105471,11129,309.10056241242296
